,Q_Rewards1,Q_noSteps1,Q_Accuracy1,Q_Rewards2,Q_noSteps2,Q_Accuracy2,Q_Rewards3,Q_noSteps3,Q_Accuracy3,Q_Rewards4,Q_noSteps4,Q_Accuracy4,Q_Rewards5,Q_noSteps5,Q_Accuracy5,Moving_Average_Accuracy1,Moving_Average_Step1,Moving_Average_Reward1,Moving_Average_Accuracy2,Moving_Average_Step2,Moving_Average_Reward2,Moving_Average_Accuracy3,Moving_Average_Step3,Moving_Average_Reward3,Moving_Average_Accuracy4,Moving_Average_Step4,Moving_Average_Reward4,Moving_Average_Accuracy5,Moving_Average_Step5,Moving_Average_Reward5,Overall_Accuracy,Overall_Steps,Overall_Reward
51,-1,7,0,-1,35,0,-1,65,0,-1,269,0,-1,206,0,0.0,94.0,-1.0,0.0,98.63461538461539,-1.0,0.0,107.51923076923077,-1.0,0.0,114.03846153846153,-1.0,0.0,105.13461538461539,-1.0,0.0,103.86538461538461,-1.0
52,-1,45,0,-1,69,0,-1,3,0,-1,386,0,-1,87,0,0.0,93.0754716981132,-1.0,0.0,98.0754716981132,-1.0,0.0,105.54716981132076,-1.0,0.0,119.16981132075472,-1.0,0.0,104.79245283018868,-1.0,0.0,104.13207547169812,-1.0
53,-1,106,0,-1,177,0,-1,320,0,-1,117,0,-1,343,0,0.0,93.31481481481481,-1.0,0.0,99.53703703703704,-1.0,0.0,109.51851851851852,-1.0,0.0,119.12962962962963,-1.0,0.0,109.20370370370371,-1.0,0.0,106.14074074074074,-1.0
54,-1,37,0,-1,398,0,-1,57,0,-1,285,0,-1,265,0,0.0,92.2909090909091,-1.0,0.0,104.96363636363637,-1.0,0.0,108.56363636363636,-1.0,0.0,122.14545454545454,-1.0,0.0,112.03636363636363,-1.0,0.0,108.0,-1.0
55,-1,91,0,-1,50,0,-1,52,0,-1,73,0,-1,36,0,0.0,92.26785714285714,-1.0,0.0,103.98214285714286,-1.0,0.0,107.55357142857143,-1.0,0.0,121.26785714285714,-1.0,0.0,110.67857142857143,-1.0,0.0,107.15,-1.0
56,-1,23,0,-1,29,0,-1,96,0,-1,78,0,-1,117,0,0.0,91.05263157894737,-1.0,0.0,102.66666666666667,-1.0,0.0,107.35087719298245,-1.0,0.0,120.50877192982456,-1.0,0.0,110.78947368421052,-1.0,0.0,106.47368421052632,-1.0
57,-1,18,0,-1,140,0,-1,160,0,-1,114,0,-1,86,0,0.0,89.79310344827586,-1.0,0.0,103.3103448275862,-1.0,0.0,108.25862068965517,-1.0,0.0,120.39655172413794,-1.0,0.0,110.36206896551724,-1.0,0.0,106.42413793103447,-1.0
58,-1,117,0,-1,47,0,-1,346,0,-1,163,0,-1,85,0,0.0,90.2542372881356,-1.0,0.0,102.35593220338983,-1.0,0.0,112.28813559322033,-1.0,0.0,121.11864406779661,-1.0,0.0,109.9322033898305,-1.0,0.0,107.18983050847457,-1.0
59,-1,42,0,-1,41,0,-1,61,0,-1,87,0,-1,117,0,0.0,89.45,-1.0,0.0,101.33333333333333,-1.0,0.0,111.43333333333334,-1.0,0.0,120.55,-1.0,0.0,110.05,-1.0,0.0,106.56333333333335,-1.0
60,-1,135,0,-1,15,0,-1,111,0,-1,70,0,-1,26,0,0.0,90.19672131147541,-1.0,0.0,99.91803278688525,-1.0,0.0,111.42622950819673,-1.0,0.0,119.72131147540983,-1.0,0.0,108.67213114754098,-1.0,0.0,105.98688524590163,-1.0
61,-1,279,0,-1,134,0,-1,22,0,-1,76,0,-1,35,0,0.0,93.24193548387096,-1.0,0.0,100.46774193548387,-1.0,0.0,109.98387096774194,-1.0,0.0,119.01612903225806,-1.0,0.0,107.48387096774194,-1.0,0.0,106.03870967741935,-1.0
62,-1,70,0,-1,50,0,-1,21,0,-1,110,0,-1,93,0,0.0,92.87301587301587,-1.0,0.0,99.66666666666667,-1.0,0.0,108.57142857142857,-1.0,0.0,118.87301587301587,-1.0,0.0,107.25396825396825,-1.0,0.0,105.44761904761904,-1.0
63,-1,75,0,-1,45,0,-1,215,0,-1,123,0,-1,37,0,0.0,92.59375,-1.0,0.0,98.8125,-1.0,0.0,110.234375,-1.0,0.0,118.9375,-1.0,0.0,106.15625,-1.0,0.0,105.346875,-1.0
64,-1,154,0,-1,176,0,-1,38,0,-1,37,0,-1,67,0,0.0,93.53846153846153,-1.0,0.0,100.0,-1.0,0.0,109.12307692307692,-1.0,0.0,117.67692307692307,-1.0,0.0,105.55384615384615,-1.0,0.0,105.17846153846153,-1.0
65,-1,261,0,-1,49,0,-1,164,0,-1,49,0,-1,145,0,0.0,96.07575757575758,-1.0,0.0,99.22727272727273,-1.0,0.0,109.95454545454545,-1.0,0.0,116.63636363636364,-1.0,0.0,106.15151515151516,-1.0,0.0,105.6090909090909,-1.0
66,-1,64,0,-1,38,0,-1,62,0,-1,187,0,-1,150,0,0.0,95.59701492537313,-1.0,0.0,98.31343283582089,-1.0,0.0,109.23880597014926,-1.0,0.0,117.68656716417911,-1.0,0.0,106.80597014925372,-1.0,0.0,105.52835820895523,-1.0
67,-1,51,0,-1,22,0,-1,98,0,-1,13,0,-1,18,0,0.0,94.94117647058823,-1.0,0.0,97.19117647058823,-1.0,0.0,109.07352941176471,-1.0,0.0,116.1470588235294,-1.0,0.0,105.5,-1.0,0.0,104.5705882352941,-1.0
68,-1,4,0,-1,146,0,-1,31,0,-1,121,0,-1,57,0,0.0,93.6231884057971,-1.0,0.0,97.89855072463769,-1.0,0.0,107.94202898550725,-1.0,0.0,116.21739130434783,-1.0,0.0,104.79710144927536,-1.0,0.0,104.09565217391302,-1.0
69,-1,40,0,-1,159,0,-1,16,0,-1,114,0,-1,70,0,0.0,92.85714285714286,-1.0,0.0,98.77142857142857,-1.0,0.0,106.62857142857143,-1.0,0.0,116.18571428571428,-1.0,0.0,104.3,-1.0,0.0,103.74857142857142,-1.0
70,-1,95,0,-1,111,0,-1,56,0,-1,77,0,-1,124,0,0.0,92.88732394366197,-1.0,0.0,98.94366197183099,-1.0,0.0,105.91549295774648,-1.0,0.0,115.63380281690141,-1.0,0.0,104.5774647887324,-1.0,0.0,103.59154929577464,-1.0
71,-1,19,0,-1,28,0,-1,96,0,-1,46,0,-1,39,0,0.0,91.86111111111111,-1.0,0.0,97.95833333333333,-1.0,0.0,105.77777777777777,-1.0,0.0,114.66666666666667,-1.0,0.0,103.66666666666667,-1.0,0.0,102.78611111111111,-1.0
