,SARSA_Rewards1,SARSA_noSteps1,SARSA_Accuracy1,SARSA_Rewards2,SARSA_noSteps2,SARSA_Accuracy2,SARSA_Rewards3,SARSA_noSteps3,SARSA_Accuracy3,SARSA_Rewards4,SARSA_noSteps4,SARSA_Accuracy4,SARSA_Rewards5,SARSA_noSteps5,SARSA_Accuracy5,Moving_Average_Accuracy1,Moving_Average_Step1,Moving_Average_Reward1,Moving_Average_Accuracy2,Moving_Average_Step2,Moving_Average_Reward2,Moving_Average_Accuracy3,Moving_Average_Step3,Moving_Average_Reward3,Moving_Average_Accuracy4,Moving_Average_Step4,Moving_Average_Reward4,Moving_Average_Accuracy5,Moving_Average_Step5,Moving_Average_Reward5,Overall_Accuracy,Overall_Steps,Overall_Reward
7105,1,5,1,1,5,1,1,5,1,1,5,1,1,7,1,0.9,5.36,0.8,0.91,6.26,0.82,0.86,6.13,0.72,0.87,5.62,0.74,0.81,7.49,0.62,0.8699999999999999,6.172,0.74
7106,1,5,1,-1,3,0,-1,1,0,1,5,1,1,5,1,0.9,5.32,0.8,0.9,6.22,0.8,0.86,6.11,0.72,0.87,5.62,0.74,0.82,7.52,0.64,0.8700000000000001,6.1579999999999995,0.7400000000000001
7107,1,6,1,1,7,1,1,9,1,1,5,1,1,6,1,0.9,5.33,0.8,0.9,6.24,0.8,0.86,6.15,0.72,0.87,5.61,0.74,0.82,7.51,0.64,0.8700000000000001,6.167999999999999,0.7400000000000001
7108,1,6,1,1,5,1,1,5,1,1,5,1,-1,3,0,0.9,5.34,0.8,0.9,6.24,0.8,0.86,6.15,0.72,0.87,5.6,0.74,0.81,7.49,0.62,0.868,6.164,0.7360000000000001
7109,-1,3,0,1,5,1,-1,5,0,1,9,1,1,24,1,0.9,5.36,0.8,0.9,6.22,0.8,0.85,6.14,0.7,0.88,5.65,0.76,0.81,7.67,0.62,0.868,6.208,0.736
7110,1,5,1,1,5,1,1,7,1,1,5,1,1,5,1,0.9,5.32,0.8,0.9,6.22,0.8,0.85,6.16,0.7,0.89,5.66,0.78,0.81,7.66,0.62,0.8699999999999999,6.204,0.74
7111,1,5,1,1,5,1,1,7,1,1,5,1,1,5,1,0.9,5.32,0.8,0.9,6.22,0.8,0.85,6.18,0.7,0.89,5.66,0.78,0.81,7.64,0.62,0.8699999999999999,6.204,0.74
7112,-1,1,0,1,5,1,1,6,1,1,5,1,1,5,1,0.89,5.28,0.78,0.9,6.22,0.8,0.85,6.17,0.7,0.89,5.64,0.78,0.81,7.64,0.62,0.868,6.19,0.7360000000000001
7113,1,5,1,1,5,1,1,6,1,1,6,1,1,5,1,0.89,5.28,0.78,0.9,6.2,0.8,0.85,6.14,0.7,0.89,5.64,0.78,0.81,7.62,0.62,0.868,6.176,0.7360000000000001
7114,1,7,1,1,5,1,1,5,1,1,5,1,1,5,1,0.89,5.29,0.78,0.9,6.2,0.8,0.85,6.11,0.7,0.9,5.68,0.8,0.81,7.62,0.62,0.8699999999999999,6.180000000000001,0.74
7115,1,5,1,1,5,1,1,5,1,1,5,1,1,7,1,0.89,5.29,0.78,0.9,6.2,0.8,0.85,6.11,0.7,0.9,5.68,0.8,0.81,7.62,0.62,0.8699999999999999,6.180000000000001,0.74
7116,1,5,1,1,5,1,1,5,1,1,5,1,1,6,1,0.89,5.27,0.78,0.9,6.2,0.8,0.85,6.11,0.7,0.9,5.68,0.8,0.81,7.63,0.62,0.8699999999999999,6.177999999999999,0.74
7117,1,5,1,1,6,1,1,5,1,1,6,1,1,5,1,0.89,5.27,0.78,0.9,6.21,0.8,0.85,6.11,0.7,0.9,5.68,0.8,0.81,7.63,0.62,0.8699999999999999,6.18,0.74
7118,1,5,1,1,5,1,1,7,1,1,5,1,1,5,1,0.89,5.27,0.78,0.9,6.19,0.8,0.85,6.13,0.7,0.9,5.66,0.8,0.82,7.67,0.64,0.8720000000000001,6.184,0.744
7119,1,7,1,1,5,1,1,6,1,1,5,1,1,5,1,0.89,5.29,0.78,0.9,6.19,0.8,0.85,6.14,0.7,0.9,5.66,0.8,0.82,7.67,0.64,0.8720000000000001,6.19,0.744
7120,1,5,1,1,7,1,1,5,1,-1,3,0,1,5,1,0.89,5.29,0.78,0.9,6.21,0.8,0.85,6.13,0.7,0.9,5.66,0.8,0.82,7.67,0.64,0.8720000000000001,6.192,0.744
7121,1,5,1,1,7,1,1,5,1,1,5,1,1,7,1,0.89,5.27,0.78,0.9,6.21,0.8,0.85,6.13,0.7,0.9,5.65,0.8,0.82,7.69,0.64,0.8720000000000001,6.1899999999999995,0.744
7122,1,7,1,1,5,1,1,5,1,-1,2,0,1,5,1,0.89,5.29,0.78,0.9,6.17,0.8,0.85,6.13,0.7,0.9,5.65,0.8,0.83,7.73,0.66,0.874,6.194000000000001,0.748
7123,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,0.89,5.29,0.78,0.9,6.17,0.8,0.85,6.13,0.7,0.9,5.65,0.8,0.83,7.36,0.66,0.874,6.12,0.748
7124,1,6,1,1,5,1,1,5,1,1,5,1,1,5,1,0.9,5.33,0.8,0.9,6.17,0.8,0.85,6.13,0.7,0.91,5.67,0.82,0.83,7.35,0.66,0.8779999999999999,6.13,0.756
7125,1,7,1,-1,1,0,1,5,1,-1,6,0,1,6,1,0.9,5.35,0.8,0.89,6.13,0.78,0.86,6.15,0.72,0.9,5.51,0.8,0.83,7.36,0.66,0.876,6.1,0.752
7126,1,5,1,1,8,1,1,5,1,1,5,1,1,5,1,0.9,5.35,0.8,0.89,6.14,0.78,0.86,6.15,0.72,0.9,5.48,0.8,0.83,7.36,0.66,0.876,6.096,0.752
7127,1,5,1,1,5,1,1,6,1,1,7,1,1,5,1,0.9,5.35,0.8,0.89,6.14,0.78,0.86,6.15,0.72,0.9,5.5,0.8,0.83,7.36,0.66,0.876,6.1,0.752
7128,1,5,1,1,8,1,1,5,1,1,7,1,1,5,1,0.9,5.35,0.8,0.89,6.17,0.78,0.86,6.15,0.72,0.9,5.52,0.8,0.83,7.36,0.66,0.876,6.11,0.752
7129,1,5,1,1,6,1,1,5,1,1,7,1,1,5,1,0.9,5.35,0.8,0.89,6.18,0.78,0.86,6.15,0.72,0.9,5.52,0.8,0.83,7.36,0.66,0.876,6.112,0.752
7130,1,7,1,-1,1,0,1,5,1,1,5,1,1,5,1,0.9,5.37,0.8,0.88,6.12,0.76,0.86,6.15,0.72,0.9,5.52,0.8,0.83,7.36,0.66,0.874,6.104,0.748
7131,1,7,1,1,21,1,1,5,1,-1,1,0,1,5,1,0.9,5.38,0.8,0.88,6.28,0.76,0.86,6.14,0.72,0.89,5.48,0.78,0.83,7.36,0.66,0.8720000000000001,6.128,0.7440000000000001
7132,1,6,1,1,5,1,1,5,1,1,5,1,1,6,1,0.91,5.42,0.82,0.88,6.26,0.76,0.86,6.14,0.72,0.89,5.48,0.78,0.83,7.37,0.66,0.874,6.134,0.748
7133,1,10,1,1,5,1,1,7,1,1,5,1,1,6,1,0.91,5.37,0.82,0.88,6.24,0.76,0.86,6.16,0.72,0.89,5.48,0.78,0.83,7.38,0.66,0.874,6.1259999999999994,0.748
7134,-1,1,0,1,5,1,1,5,1,1,5,1,1,5,1,0.91,5.35,0.82,0.88,6.24,0.76,0.86,6.16,0.72,0.89,5.47,0.78,0.84,7.39,0.68,0.876,6.122,0.752
7135,-1,3,0,1,5,1,1,7,1,1,5,1,1,5,1,0.9,5.33,0.8,0.88,6.24,0.76,0.87,6.2,0.74,0.89,5.47,0.78,0.84,7.39,0.68,0.876,6.1259999999999994,0.752
7136,1,8,1,1,9,1,1,5,1,1,5,1,-1,2,0,0.91,5.38,0.82,0.88,6.28,0.76,0.88,6.22,0.76,0.89,5.46,0.78,0.83,7.36,0.66,0.8779999999999999,6.14,0.756
7137,1,7,1,1,6,1,1,9,1,1,5,1,-1,1,0,0.91,5.4,0.82,0.88,6.29,0.76,0.89,6.16,0.78,0.89,5.43,0.78,0.82,7.32,0.64,0.8780000000000001,6.12,0.7560000000000001
7138,1,7,1,1,5,1,1,7,1,1,6,1,1,7,1,0.91,5.42,0.82,0.88,6.29,0.76,0.9,6.13,0.8,0.89,5.44,0.78,0.82,7.33,0.64,0.8800000000000001,6.122,0.76
7139,1,6,1,1,9,1,1,5,1,1,6,1,1,5,1,0.91,5.43,0.82,0.89,6.33,0.78,0.9,5.92,0.8,0.89,5.45,0.78,0.82,7.33,0.64,0.882,6.0920000000000005,0.7640000000000001
7140,1,5,1,1,5,1,1,9,1,1,6,1,1,5,1,0.91,5.43,0.82,0.89,6.33,0.78,0.91,5.54,0.82,0.89,5.45,0.78,0.82,7.32,0.64,0.884,6.014,0.768
7141,1,5,1,1,5,1,-1,3,0,-1,1,0,1,6,1,0.91,5.43,0.82,0.89,6.29,0.78,0.91,5.55,0.82,0.89,5.43,0.78,0.83,7.33,0.66,0.8859999999999999,6.006,0.772
7142,1,5,1,1,6,1,1,6,1,1,7,1,1,5,1,0.91,5.43,0.82,0.89,6.3,0.78,0.91,5.51,0.82,0.9,5.49,0.8,0.83,7.27,0.66,0.8879999999999999,6.000000000000001,0.776
7143,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,0.91,5.43,0.82,0.89,6.3,0.78,0.91,5.51,0.82,0.9,5.48,0.8,0.83,7.27,0.66,0.8879999999999999,5.998,0.776
7144,1,5,1,1,5,1,1,5,1,1,5,1,1,5,1,0.91,5.43,0.82,0.89,6.3,0.78,0.91,5.5,0.82,0.9,5.26,0.8,0.83,7.26,0.66,0.8879999999999999,5.95,0.776
7145,1,5,1,1,5,1,1,5,1,1,6,1,-1,4,0,0.91,5.41,0.82,0.9,6.34,0.8,0.91,5.49,0.82,0.9,5.26,0.8,0.82,7.25,0.64,0.8880000000000001,5.95,0.776
7146,1,5,1,1,5,1,1,5,1,-1,2,0,1,5,1,0.91,5.41,0.82,0.9,6.34,0.8,0.91,5.49,0.82,0.89,5.23,0.78,0.82,7.25,0.64,0.8860000000000001,5.944000000000001,0.772
