,QL with Constant Epsilon Overall_Accuracy,QL with Constant Epsilon Overall_Steps,QL with Constant Epsilon Overall_Reward
301,0.89,5.25,0.78
302,0.89,5.25,0.78
303,0.89,5.25,0.78
304,0.9,5.29,0.8
305,0.9,5.28,0.8
306,0.9,5.29,0.8
307,0.9,5.28,0.8
308,0.9,5.28,0.8
309,0.89,5.26,0.78
310,0.89,5.22,0.78
311,0.89,5.22,0.78
312,0.88,5.18,0.76
313,0.88,5.18,0.76
314,0.88,5.2,0.76
315,0.88,5.21,0.76
316,0.88,5.21,0.76
317,0.88,5.21,0.76
318,0.88,5.2,0.76
319,0.88,5.2,0.76
320,0.88,5.2,0.76
321,0.88,5.2,0.76
322,0.87,5.19,0.74
323,0.87,5.19,0.74
324,0.87,5.21,0.74
325,0.88,5.24,0.76
326,0.88,5.26,0.76
327,0.88,5.25,0.76
328,0.88,5.24,0.76
329,0.88,5.24,0.76
330,0.88,5.24,0.76
331,0.88,5.24,0.76
332,0.87,5.21,0.74
333,0.87,5.18,0.74
334,0.87,5.17,0.74
335,0.86,5.16,0.72
336,0.86,5.16,0.72
337,0.86,5.16,0.72
338,0.86,5.15,0.72
339,0.87,5.18,0.74
340,0.88,5.22,0.76
341,0.88,5.23,0.76
342,0.88,5.23,0.76
343,0.89,5.24,0.78
344,0.88,5.21,0.76
345,0.88,5.2,0.76
346,0.88,5.18,0.76
347,0.88,5.18,0.76
348,0.88,5.21,0.76
349,0.88,5.21,0.76
350,0.89,5.25,0.78
351,0.89,5.25,0.78
352,0.89,5.28,0.78
353,0.89,5.28,0.78
354,0.89,5.28,0.78
355,0.88,5.22,0.76
356,0.88,5.22,0.76
357,0.89,5.24,0.78
358,0.89,5.24,0.78
359,0.88,5.21,0.76
360,0.89,5.24,0.78
361,0.89,5.24,0.78
362,0.89,5.24,0.78
363,0.89,5.24,0.78
364,0.89,5.24,0.78
365,0.89,5.24,0.78
366,0.89,5.23,0.78
367,0.89,5.23,0.78
368,0.89,5.23,0.78
369,0.89,5.25,0.78
370,0.89,5.25,0.78
371,0.89,5.25,0.78
372,0.89,5.25,0.78
373,0.89,5.26,0.78
374,0.89,5.26,0.78
375,0.89,5.26,0.78
376,0.89,5.24,0.78
377,0.88,5.2,0.76
378,0.88,5.2,0.76
379,0.88,5.21,0.76
380,0.88,5.21,0.76
381,0.88,5.22,0.76
382,0.87,5.19,0.74
383,0.87,5.19,0.74
384,0.87,5.19,0.74
385,0.87,5.18,0.74
386,0.86,5.17,0.72
387,0.86,5.17,0.72
388,0.86,5.17,0.72
389,0.86,5.19,0.72
390,0.86,5.16,0.72
391,0.85,5.12,0.7
392,0.85,5.1,0.7
393,0.84,5.06,0.68
394,0.84,5.06,0.68
395,0.84,5.02,0.68
396,0.83,5.02,0.66
397,0.83,5.03,0.66
398,0.83,5.05,0.66
399,0.83,5.02,0.66
400,0.84,5.05,0.68
401,0.84,5.01,0.68
402,0.84,5.05,0.68
403,0.84,5.05,0.68
404,0.84,5.05,0.68
405,0.84,5.05,0.68
406,0.84,5.04,0.68
407,0.84,5.04,0.68
408,0.84,5.04,0.68
409,0.85,5.06,0.7
410,0.85,5.08,0.7
411,0.85,5.08,0.7
412,0.86,5.12,0.72
413,0.86,5.12,0.72
414,0.87,5.11,0.74
415,0.87,5.1,0.74
416,0.87,5.12,0.74
417,0.87,5.12,0.74
418,0.87,5.12,0.74
419,0.86,5.09,0.72
420,0.86,5.09,0.72
421,0.86,5.09,0.72
422,0.87,5.11,0.74
423,0.87,5.11,0.74
424,0.87,5.09,0.74
425,0.87,5.07,0.74
426,0.86,5.02,0.72
427,0.86,5.02,0.72
428,0.86,5.02,0.72
429,0.86,5.02,0.72
430,0.86,5.02,0.72
431,0.86,5.02,0.72
432,0.87,5.05,0.74
433,0.87,5.06,0.74
434,0.87,5.05,0.74
435,0.88,5.06,0.76
436,0.88,5.06,0.76
437,0.88,5.07,0.76
438,0.88,5.07,0.76
439,0.88,5.1,0.76
440,0.88,5.1,0.76
441,0.87,5.06,0.74
442,0.87,5.08,0.74
443,0.87,5.06,0.74
444,0.88,5.09,0.76
445,0.88,5.11,0.76
446,0.88,5.11,0.76
447,0.87,5.08,0.74
448,0.87,5.05,0.74
449,0.87,5.05,0.74
450,0.87,5.05,0.74
451,0.87,5.05,0.74
452,0.86,5.02,0.72
453,0.85,4.99,0.7
454,0.85,4.99,0.7
455,0.86,5.03,0.72
456,0.85,5.02,0.7
457,0.85,5.02,0.7
458,0.85,5.02,0.7
459,0.86,5.07,0.72
460,0.86,5.05,0.72
461,0.86,5.05,0.72
462,0.86,5.07,0.72
463,0.85,5.04,0.7
464,0.85,5.04,0.7
465,0.85,5.02,0.7
466,0.85,5.01,0.7
467,0.85,5.02,0.7
468,0.85,5.02,0.7
469,0.85,5.04,0.7
470,0.85,5.04,0.7
471,0.85,5.04,0.7
472,0.85,5.04,0.7
473,0.85,5.04,0.7
474,0.85,5.04,0.7
475,0.85,5.04,0.7
476,0.84,5.03,0.68
477,0.85,5.05,0.7
478,0.85,5.05,0.7
479,0.85,5.04,0.7
480,0.85,5.04,0.7
