,Q_Rewards1,Q_noSteps1,Q_Accuracy1,Moving_Average_Accuracy1,Moving_Average_Step1,Moving_Average_Reward1,Overall_Accuracy,Overall_Steps,Overall_Reward
1475,-1,11543,0,0.0,15818.73,-0.98,0.0,15818.73,-0.98
1476,-1,11448,0,0.0,15860.83,-0.98,0.0,15860.83,-0.98
1477,-1,2660,0,0.0,15782.73,-0.98,0.0,15782.73,-0.98
1478,-1,3730,0,0.0,15697.57,-0.98,0.0,15697.57,-0.98
1479,-1,5040,0,0.0,15684.25,-0.98,0.0,15684.25,-0.98
1480,-1,8778,0,0.0,15600.68,-0.98,0.0,15600.68,-0.98
1481,-1,4134,0,0.0,15524.03,-0.98,0.0,15524.03,-0.98
1482,-1,23584,0,0.0,15555.48,-0.98,0.0,15555.48,-0.98
1483,-1,6365,0,0.0,15576.0,-0.98,0.0,15576.0,-0.98
1484,-1,16395,0,0.0,15567.21,-0.98,0.0,15567.21,-0.98
1485,-1,13775,0,0.0,15540.87,-0.98,0.0,15540.87,-0.98
1486,-1,19622,0,0.0,15548.6,-0.98,0.0,15548.6,-0.98
1487,-1,38433,0,0.0,15682.11,-0.98,0.0,15682.11,-0.98
1488,-1,11714,0,0.0,15299.25,-0.99,0.0,15299.25,-0.99
1489,-1,9926,0,0.0,15129.02,-0.99,0.0,15129.02,-0.99
1490,-1,13245,0,0.0,15211.33,-0.99,0.0,15211.33,-0.99
1491,-1,18287,0,0.0,15304.45,-0.99,0.0,15304.45,-0.99
1492,-1,14736,0,0.0,15346.73,-0.99,0.0,15346.73,-0.99
1493,-1,11164,0,0.0,15154.33,-0.99,0.0,15154.33,-0.99
1494,-1,8659,0,0.0,15032.84,-0.99,0.0,15032.84,-0.99
1495,-1,1794,0,0.0,14982.88,-0.99,0.0,14982.88,-0.99
1496,-1,11856,0,0.0,14830.82,-0.99,0.0,14830.82,-0.99
1497,-1,3678,0,0.0,14689.64,-0.99,0.0,14689.64,-0.99
1498,-1,33994,0,0.0,14692.53,-0.99,0.0,14692.53,-0.99
1499,-1,3236,0,0.0,14672.7,-0.99,0.0,14672.7,-0.99
1500,-1,25222,0,0.0,14776.36,-0.99,0.0,14776.36,-0.99
1501,-1,11686,0,0.0,14731.0,-0.99,0.0,14731.0,-0.99
1502,-1,23752,0,0.0,14601.67,-0.99,0.0,14601.67,-0.99
1503,-1,17293,0,0.0,14574.61,-0.99,0.0,14574.61,-0.99
1504,-1,15316,0,0.0,14548.93,-0.99,0.0,14548.93,-0.99
1505,-1,25834,0,0.0,14457.41,-0.99,0.0,14457.41,-0.99
1506,-1,7423,0,0.0,14444.5,-0.99,0.0,14444.5,-0.99
1507,-1,5224,0,0.0,14439.11,-0.99,0.0,14439.11,-0.99
1508,-1,14713,0,0.0,14404.91,-0.99,0.0,14404.91,-0.99
1509,-1,4016,0,0.0,14381.49,-0.99,0.0,14381.49,-0.99
1510,-1,2312,0,0.0,14361.75,-0.99,0.0,14361.75,-0.99
1511,-1,2157,0,0.0,14333.82,-0.99,0.0,14333.82,-0.99
1512,-1,25845,0,0.0,14323.22,-0.99,0.0,14323.22,-0.99
1513,-1,12660,0,0.0,14128.28,-0.99,0.0,14128.28,-0.99
1514,-1,24758,0,0.0,14091.7,-0.99,0.0,14091.7,-0.99
1515,-1,24822,0,0.0,14285.19,-0.99,0.0,14285.19,-0.99
1516,-1,23488,0,0.0,14325.59,-0.99,0.0,14325.59,-0.99
1517,-1,19513,0,0.0,14302.18,-0.99,0.0,14302.18,-0.99
1518,-1,10351,0,0.0,14205.92,-0.99,0.0,14205.92,-0.99
1519,-1,4626,0,0.0,13779.72,-0.99,0.0,13779.72,-0.99
1520,-1,37016,0,0.0,14067.99,-0.99,0.0,14067.99,-0.99
1521,-1,24376,0,0.0,14067.71,-0.99,0.0,14067.71,-0.99
1522,-1,20568,0,0.0,13936.23,-0.99,0.0,13936.23,-0.99
1523,-1,10250,0,0.0,13873.7,-0.99,0.0,13873.7,-0.99
1524,-1,23024,0,0.0,14038.08,-0.99,0.0,14038.08,-0.99
1525,-1,28363,0,0.0,14305.66,-0.99,0.0,14305.66,-0.99
1526,-1,15456,0,0.0,14404.05,-0.99,0.0,14404.05,-0.99
1527,-1,16412,0,0.0,14365.49,-0.99,0.0,14365.49,-0.99
1528,-1,5570,0,0.0,14390.47,-0.99,0.0,14390.47,-0.99
1529,-1,6341,0,0.0,14318.4,-0.99,0.0,14318.4,-0.99
1530,-1,36790,0,0.0,14654.07,-0.99,0.0,14654.07,-0.99
1531,-1,2277,0,0.0,14643.26,-0.99,0.0,14643.26,-0.99
1532,-1,4796,0,0.0,14549.82,-0.99,0.0,14549.82,-0.99
1533,-1,5399,0,0.0,14551.28,-0.99,0.0,14551.28,-0.99
1534,-1,16262,0,0.0,14638.47,-0.99,0.0,14638.47,-0.99
1535,-1,16418,0,0.0,14594.78,-0.99,0.0,14594.78,-0.99
1536,-1,19666,0,0.0,14678.18,-0.99,0.0,14678.18,-0.99
