,FVMC_Rewards1,FVMC_noSteps1,FVMC_Accuracy1,Moving_Average_Accuracy1,Moving_Average_Step1,Moving_Average_Reward1,Overall_Accuracy,Overall_Steps,MC Overall_Reward
171,1,5,1,0.88,5.45,0.76,0.88,5.45,0.76
172,1,5,1,0.88,5.45,0.76,0.88,5.45,0.76
173,1,10,1,0.88,5.5,0.76,0.88,5.5,0.76
174,1,5,1,0.88,5.48,0.76,0.88,5.48,0.76
175,1,5,1,0.88,5.32,0.76,0.88,5.32,0.76
176,1,5,1,0.88,5.31,0.76,0.88,5.31,0.76
177,1,5,1,0.88,5.31,0.76,0.88,5.31,0.76
178,1,5,1,0.88,5.31,0.76,0.88,5.31,0.76
179,1,6,1,0.88,5.32,0.76,0.88,5.32,0.76
180,1,7,1,0.88,5.34,0.76,0.88,5.34,0.76
181,1,5,1,0.88,5.32,0.76,0.88,5.32,0.76
182,1,5,1,0.88,5.32,0.76,0.88,5.32,0.76
183,1,5,1,0.88,5.32,0.76,0.88,5.32,0.76
184,1,5,1,0.88,5.32,0.76,0.88,5.32,0.76
185,1,7,1,0.89,5.31,0.78,0.89,5.31,0.78
186,1,5,1,0.89,5.31,0.78,0.89,5.31,0.78
187,1,5,1,0.9,5.33,0.8,0.9,5.33,0.8
188,1,5,1,0.9,5.33,0.8,0.9,5.33,0.8
189,1,5,1,0.9,5.33,0.8,0.9,5.33,0.8
190,1,5,1,0.9,5.33,0.8,0.9,5.33,0.8
191,1,5,1,0.9,5.31,0.8,0.9,5.31,0.8
192,-1,1,0,0.9,5.31,0.8,0.9,5.31,0.8
193,1,5,1,0.9,5.29,0.8,0.9,5.29,0.8
194,1,5,1,0.9,5.29,0.8,0.9,5.29,0.8
195,1,5,1,0.9,5.29,0.8,0.9,5.29,0.8
196,1,5,1,0.9,5.29,0.8,0.9,5.29,0.8
197,1,7,1,0.91,5.31,0.82,0.91,5.31,0.82
198,-1,3,0,0.9,5.29,0.8,0.9,5.29,0.8
199,1,5,1,0.9,5.27,0.8,0.9,5.27,0.8
200,1,5,1,0.9,5.25,0.8,0.9,5.25,0.8
201,1,5,1,0.9,5.25,0.8,0.9,5.25,0.8
202,1,5,1,0.9,5.23,0.8,0.9,5.23,0.8
203,1,5,1,0.9,5.23,0.8,0.9,5.23,0.8
204,1,7,1,0.9,5.25,0.8,0.9,5.25,0.8
205,1,5,1,0.9,5.24,0.8,0.9,5.24,0.8
206,1,5,1,0.9,5.24,0.8,0.9,5.24,0.8
207,1,5,1,0.9,5.24,0.8,0.9,5.24,0.8
208,1,5,1,0.9,5.24,0.8,0.9,5.24,0.8
209,1,5,1,0.9,5.24,0.8,0.9,5.24,0.8
210,1,6,1,0.9,5.25,0.8,0.9,5.25,0.8
211,1,7,1,0.9,5.27,0.8,0.9,5.27,0.8
212,1,5,1,0.9,5.27,0.8,0.9,5.27,0.8
213,1,5,1,0.9,5.27,0.8,0.9,5.27,0.8
214,-1,2,0,0.89,5.24,0.78,0.89,5.24,0.78
215,1,5,1,0.89,5.24,0.78,0.89,5.24,0.78
216,1,5,1,0.89,5.23,0.78,0.89,5.23,0.78
217,1,5,1,0.89,5.23,0.78,0.89,5.23,0.78
218,1,6,1,0.89,5.24,0.78,0.89,5.24,0.78
219,1,6,1,0.89,5.17,0.78,0.89,5.17,0.78
220,1,5,1,0.9,5.19,0.8,0.9,5.19,0.8
221,1,5,1,0.9,5.19,0.8,0.9,5.19,0.8
222,1,5,1,0.9,5.19,0.8,0.9,5.19,0.8
223,1,5,1,0.9,5.18,0.8,0.9,5.18,0.8
224,1,5,1,0.9,5.16,0.8,0.9,5.16,0.8
225,-1,1,0,0.89,5.1,0.78,0.89,5.1,0.78
226,1,7,1,0.89,5.12,0.78,0.89,5.12,0.78
227,1,5,1,0.89,5.12,0.78,0.89,5.12,0.78
228,1,5,1,0.89,5.12,0.78,0.89,5.12,0.78
229,1,7,1,0.89,5.13,0.78,0.89,5.13,0.78
230,1,6,1,0.89,5.12,0.78,0.89,5.12,0.78
231,1,5,1,0.9,5.14,0.8,0.9,5.14,0.8
232,1,5,1,0.9,5.13,0.8,0.9,5.13,0.8
233,-1,2,0,0.89,5.1,0.78,0.89,5.1,0.78
234,1,7,1,0.89,5.1,0.78,0.89,5.1,0.78
235,1,5,1,0.9,5.13,0.8,0.9,5.13,0.8
236,1,5,1,0.9,5.13,0.8,0.9,5.13,0.8
237,1,5,1,0.9,5.13,0.8,0.9,5.13,0.8
238,1,5,1,0.9,5.11,0.8,0.9,5.11,0.8
239,1,5,1,0.9,5.11,0.8,0.9,5.11,0.8
240,1,6,1,0.9,5.12,0.8,0.9,5.12,0.8
241,1,5,1,0.9,5.1,0.8,0.9,5.1,0.8
242,1,7,1,0.91,5.14,0.82,0.91,5.14,0.82
243,1,5,1,0.91,5.14,0.82,0.91,5.14,0.82
244,1,5,1,0.91,5.14,0.82,0.91,5.14,0.82
245,1,17,1,0.91,5.26,0.82,0.91,5.26,0.82
246,-1,2,0,0.9,5.23,0.8,0.9,5.23,0.8
247,1,5,1,0.9,5.21,0.8,0.9,5.21,0.8
248,1,5,1,0.9,5.21,0.8,0.9,5.21,0.8
249,1,11,1,0.91,5.29,0.82,0.91,5.29,0.82
250,1,5,1,0.91,5.29,0.82,0.91,5.29,0.82
251,1,6,1,0.91,5.3,0.82,0.91,5.3,0.82
252,1,5,1,0.91,5.3,0.82,0.91,5.3,0.82
253,1,6,1,0.91,5.31,0.82,0.91,5.31,0.82
254,1,5,1,0.91,5.31,0.82,0.91,5.31,0.82
255,1,7,1,0.92,5.35,0.84,0.92,5.35,0.84
256,1,6,1,0.92,5.35,0.84,0.92,5.35,0.84
257,1,5,1,0.92,5.35,0.84,0.92,5.35,0.84
258,1,5,1,0.92,5.35,0.84,0.92,5.35,0.84
259,1,5,1,0.93,5.37,0.86,0.93,5.37,0.86
260,1,5,1,0.93,5.37,0.86,0.93,5.37,0.86
261,1,5,1,0.93,5.37,0.86,0.93,5.37,0.86
262,1,5,1,0.93,5.37,0.86,0.93,5.37,0.86
263,1,5,1,0.93,5.35,0.86,0.93,5.35,0.86
264,-1,3,0,0.92,5.33,0.84,0.92,5.33,0.84
265,1,5,1,0.92,5.33,0.84,0.92,5.33,0.84
266,1,5,1,0.93,5.36,0.86,0.93,5.36,0.86
267,1,5,1,0.93,5.36,0.86,0.93,5.36,0.86
268,1,5,1,0.93,5.35,0.86,0.93,5.35,0.86
269,1,5,1,0.93,5.33,0.86,0.93,5.33,0.86
270,1,5,1,0.93,5.31,0.86,0.93,5.31,0.86
271,-1,2,0,0.92,5.28,0.84,0.92,5.28,0.84
272,-1,4,0,0.91,5.27,0.82,0.91,5.27,0.82
273,1,5,1,0.91,5.22,0.82,0.91,5.22,0.82
274,1,6,1,0.91,5.23,0.82,0.91,5.23,0.82
275,-1,11,0,0.9,5.29,0.8,0.9,5.29,0.8
276,1,5,1,0.9,5.29,0.8,0.9,5.29,0.8
277,-1,4,0,0.89,5.28,0.78,0.89,5.28,0.78
278,1,7,1,0.89,5.3,0.78,0.89,5.3,0.78
279,-1,1,0,0.88,5.25,0.76,0.88,5.25,0.76
280,1,5,1,0.88,5.23,0.76,0.88,5.23,0.76
281,-1,2,0,0.87,5.2,0.74,0.87,5.2,0.74
282,1,5,1,0.87,5.2,0.74,0.87,5.2,0.74
283,1,5,1,0.87,5.2,0.74,0.87,5.2,0.74
284,1,5,1,0.87,5.2,0.74,0.87,5.2,0.74
285,1,10,1,0.87,5.23,0.74,0.87,5.23,0.74
286,-1,4,0,0.86,5.22,0.72,0.86,5.22,0.72
287,1,5,1,0.86,5.22,0.72,0.86,5.22,0.72
288,1,6,1,0.86,5.23,0.72,0.86,5.23,0.72
289,1,5,1,0.86,5.23,0.72,0.86,5.23,0.72
290,1,5,1,0.86,5.23,0.72,0.86,5.23,0.72
291,1,5,1,0.86,5.23,0.72,0.86,5.23,0.72
292,1,5,1,0.87,5.27,0.74,0.87,5.27,0.74
293,1,5,1,0.87,5.27,0.74,0.87,5.27,0.74
294,-1,1,0,0.86,5.23,0.72,0.86,5.23,0.72
295,-1,1,0,0.85,5.19,0.7,0.85,5.19,0.7
296,1,5,1,0.85,5.19,0.7,0.85,5.19,0.7
297,1,5,1,0.85,5.17,0.7,0.85,5.17,0.7
298,1,7,1,0.86,5.21,0.72,0.86,5.21,0.72
299,1,5,1,0.86,5.21,0.72,0.86,5.21,0.72
300,1,6,1,0.86,5.22,0.72,0.86,5.22,0.72
301,1,5,1,0.86,5.22,0.72,0.86,5.22,0.72
302,-1,2,0,0.85,5.19,0.7,0.85,5.19,0.7
303,1,5,1,0.85,5.19,0.7,0.85,5.19,0.7
304,-1,1,0,0.84,5.13,0.68,0.84,5.13,0.68
305,-1,1,0,0.83,5.09,0.66,0.83,5.09,0.66
306,1,6,1,0.83,5.1,0.66,0.83,5.1,0.66
307,1,6,1,0.83,5.11,0.66,0.83,5.11,0.66
308,-1,4,0,0.82,5.1,0.64,0.82,5.1,0.64
309,1,5,1,0.82,5.1,0.64,0.82,5.1,0.64
310,1,8,1,0.82,5.12,0.64,0.82,5.12,0.64
311,1,6,1,0.82,5.11,0.64,0.82,5.11,0.64
312,1,8,1,0.82,5.14,0.64,0.82,5.14,0.64
313,-1,2,0,0.81,5.11,0.62,0.81,5.11,0.62
314,1,6,1,0.82,5.15,0.64,0.82,5.15,0.64
315,1,6,1,0.82,5.16,0.64,0.82,5.16,0.64
316,1,5,1,0.82,5.16,0.64,0.82,5.16,0.64
317,1,5,1,0.82,5.16,0.64,0.82,5.16,0.64
318,1,5,1,0.82,5.15,0.64,0.82,5.15,0.64
319,1,5,1,0.82,5.14,0.64,0.82,5.14,0.64
320,1,8,1,0.82,5.17,0.64,0.82,5.17,0.64
321,-1,7,0,0.81,5.19,0.62,0.81,5.19,0.62
322,1,5,1,0.81,5.19,0.62,0.81,5.19,0.62
323,1,5,1,0.81,5.19,0.62,0.81,5.19,0.62
324,1,5,1,0.81,5.19,0.62,0.81,5.19,0.62
325,1,5,1,0.82,5.23,0.64,0.82,5.23,0.64
326,1,6,1,0.82,5.22,0.64,0.82,5.22,0.64
327,1,6,1,0.82,5.23,0.64,0.82,5.23,0.64
328,1,5,1,0.82,5.23,0.64,0.82,5.23,0.64
329,1,5,1,0.82,5.21,0.64,0.82,5.21,0.64
330,1,5,1,0.82,5.2,0.64,0.82,5.2,0.64
331,1,5,1,0.82,5.2,0.64,0.82,5.2,0.64
332,1,6,1,0.82,5.21,0.64,0.82,5.21,0.64
333,1,5,1,0.83,5.24,0.66,0.83,5.24,0.66
334,1,5,1,0.83,5.22,0.66,0.83,5.22,0.66
335,1,5,1,0.83,5.22,0.66,0.83,5.22,0.66
336,1,6,1,0.83,5.23,0.66,0.83,5.23,0.66
337,1,5,1,0.83,5.23,0.66,0.83,5.23,0.66
338,1,5,1,0.83,5.23,0.66,0.83,5.23,0.66
339,1,5,1,0.83,5.23,0.66,0.83,5.23,0.66
340,1,5,1,0.83,5.22,0.66,0.83,5.22,0.66
341,1,5,1,0.83,5.22,0.66,0.83,5.22,0.66
342,-1,4,0,0.82,5.19,0.64,0.82,5.19,0.64
343,1,7,1,0.82,5.21,0.64,0.82,5.21,0.64
344,1,7,1,0.82,5.23,0.64,0.82,5.23,0.64
345,-1,4,0,0.81,5.1,0.62,0.81,5.1,0.62
346,1,5,1,0.82,5.13,0.64,0.82,5.13,0.64
347,1,8,1,0.82,5.16,0.64,0.82,5.16,0.64
348,1,5,1,0.82,5.16,0.64,0.82,5.16,0.64
349,1,5,1,0.82,5.1,0.64,0.82,5.1,0.64
350,1,5,1,0.82,5.1,0.64,0.82,5.1,0.64
351,1,5,1,0.82,5.09,0.64,0.82,5.09,0.64
352,-1,1,0,0.81,5.05,0.62,0.81,5.05,0.62
353,1,5,1,0.81,5.04,0.62,0.81,5.04,0.62
354,1,6,1,0.81,5.05,0.62,0.81,5.05,0.62
355,1,7,1,0.81,5.05,0.62,0.81,5.05,0.62
356,1,5,1,0.81,5.04,0.62,0.81,5.04,0.62
357,-1,2,0,0.8,5.01,0.6,0.8,5.01,0.6
358,1,5,1,0.8,5.01,0.6,0.8,5.01,0.6
359,1,5,1,0.8,5.01,0.6,0.8,5.01,0.6
360,1,5,1,0.8,5.01,0.6,0.8,5.01,0.6
361,1,5,1,0.8,5.01,0.6,0.8,5.01,0.6
362,1,5,1,0.8,5.01,0.6,0.8,5.01,0.6
363,1,5,1,0.8,5.01,0.6,0.8,5.01,0.6
364,1,5,1,0.81,5.03,0.62,0.81,5.03,0.62
365,1,5,1,0.81,5.03,0.62,0.81,5.03,0.62
366,1,7,1,0.81,5.05,0.62,0.81,5.05,0.62
367,1,5,1,0.81,5.05,0.62,0.81,5.05,0.62
368,1,5,1,0.81,5.05,0.62,0.81,5.05,0.62
369,1,5,1,0.81,5.05,0.62,0.81,5.05,0.62
370,1,5,1,0.81,5.05,0.62,0.81,5.05,0.62
371,1,13,1,0.82,5.16,0.64,0.82,5.16,0.64
372,1,5,1,0.83,5.17,0.66,0.83,5.17,0.66
373,1,5,1,0.83,5.17,0.66,0.83,5.17,0.66
374,1,5,1,0.83,5.16,0.66,0.83,5.16,0.66
375,-1,4,0,0.83,5.09,0.66,0.83,5.09,0.66
376,1,5,1,0.83,5.09,0.66,0.83,5.09,0.66
377,1,5,1,0.84,5.1,0.68,0.84,5.1,0.68
378,1,5,1,0.84,5.08,0.68,0.84,5.08,0.68
379,1,5,1,0.85,5.12,0.7,0.85,5.12,0.7
380,1,5,1,0.85,5.12,0.7,0.85,5.12,0.7
381,1,5,1,0.86,5.15,0.72,0.86,5.15,0.72
382,1,6,1,0.86,5.16,0.72,0.86,5.16,0.72
383,1,5,1,0.86,5.16,0.72,0.86,5.16,0.72
384,1,8,1,0.86,5.19,0.72,0.86,5.19,0.72
385,1,5,1,0.86,5.14,0.72,0.86,5.14,0.72
386,1,5,1,0.87,5.15,0.74,0.87,5.15,0.74
387,1,5,1,0.87,5.15,0.74,0.87,5.15,0.74
388,-1,3,0,0.86,5.12,0.72,0.86,5.12,0.72
389,1,5,1,0.86,5.12,0.72,0.86,5.12,0.72
390,1,5,1,0.86,5.12,0.72,0.86,5.12,0.72
391,1,5,1,0.86,5.12,0.72,0.86,5.12,0.72
392,-1,4,0,0.85,5.11,0.7,0.85,5.11,0.7
393,1,7,1,0.85,5.13,0.7,0.85,5.13,0.7
394,1,5,1,0.86,5.17,0.72,0.86,5.17,0.72
395,-1,4,0,0.86,5.2,0.72,0.86,5.2,0.72
396,1,6,1,0.86,5.21,0.72,0.86,5.21,0.72
397,1,6,1,0.86,5.22,0.72,0.86,5.22,0.72
398,1,7,1,0.86,5.22,0.72,0.86,5.22,0.72
399,1,5,1,0.86,5.22,0.72,0.86,5.22,0.72
